Type, RunNo, EvNo, E1, px1, py1, pz1, pt1, eta1, phi1, Q1, E2, px2, py2, pz2, pt2, eta2, phi2, Q2, M
GT,  140124,  903983750,  9.79355, 0.23838, -2.41557, 9.48739, 2.42730374063, 2.07230618569, -1.47243003873,  1,  4.05562, -1.27992, -0.645549, 3.79236, 1.43350225595, 1.69996069736, -2.67445780648,  -1,  2.23439
GT,  140124,  903999652,  9.25172, -2.14564, -2.7191, 8.57822, 3.46370839125, 1.6385053465, -2.23885508878,  -1,  3.49386, 0.361428, -0.670768, 3.40813, 0.761944820186, 2.20345969662, -1.0765715796,  1,  2.0255
GT,  140124,  904034454,  16.182, 3.05957, 1.0095, -15.8576, 3.22180986945, -2.29701626106, 0.318700960436,  1,  5.57422, 0.301952, 2.33513, -5.05141, 2.35457153792, -1.50681585473, 1.44220145701,  -1,  3.69551
GT,  140124,  904039797,  6.51628, 0.401716, -2.63123, 5.94693, 2.6617188164, 1.54374017171, -1.41929388915,  -1,  4.10148, 1.03734, -0.0200081, 3.96667, 1.03753293908, 2.0509093301, -0.01928549887,  1,  2.31459
GT,  140124,  904053275,  7.99086, 3.59084, 1.19373, -7.0373, 3.78406173556, -1.37908146839, 0.320944119807,  1,  5.12236, -1.38797, -0.301518, -4.92037, 1.42034285481, -1.95584223919, -2.92767961786,  1,  4.82929
GT,  140124,  904156675,  22.0094, 0.912328, -5.58069, 21.2703, 5.65477172445, 2.03517788119, -1.40875034171,  1,  10.3466, -1.87651, -0.559901, 10.159, 1.9582591529, 2.34861367813, -2.85162865791,  -1,  4.52437
GT,  140124,  904165491,  10.8569, -1.60928, -2.35864, -10.4742, 2.85533969398, -2.01095272738, -2.1695382537,  1,  3.01991, 0.965819, 0.508612, -2.81375, 1.0915550867, -1.67572392026, 0.484709958474,  1,  3.48718
GT,  140124,  904167465,  7.36398, -1.24196, 1.91932, -6.99934, 2.28610015179, -1.83777747171, 2.14511843932,  1,  5.72264, -0.216742, -1.02594, -5.62476, 1.04858475011, -2.3814613543, -1.77899678303,  -1,  2.99428
GT,  140124,  904181328,  15.2798, -2.05944, 3.02666, -14.8344, 3.66086927781, -2.10728434916, 2.1682691621,  1,  5.11139, 0.813237, 1.08025, -4.92817, 1.35214440082, -2.00473281741, 0.925490971856,  -1,  2.61192
GT,  140124,  904188207,  15.6906, 1.45699, -2.72165, -15.3835, 3.08710197153, -2.30912891682, -1.07928319087,  1,  5.14413, -0.659515, -1.04182, -4.99305, 1.23302430942, -2.10663273561, -2.1351572034,  -1,  2.02002
GT,  140124,  904195964,  33.6526, 0.523921, 10.7696, 31.8783, 10.7823363597, 1.80460963505, 1.52218651075,  -1,  5.68185, 1.01421, 0.813958, 5.53001, 1.3004420594, 2.15417951099, 0.676296144946,  -1,  3.3571
GT,  140124,  904213956,  15.3972, 3.19278, 2.4693, 14.8584, 4.0362466003, 2.01435489506, 0.658310457877,  1,  3.6719, 0.950587, -0.886342, 3.43256, 1.29969911346, 1.69837593104, -0.750438279486,  -1,  3.06578
